ID,WMOID,FullName,ShortName,Latitude,Longitude,Elevation,Timezone,Address,City,Country,SurfaceType,TopographyType,RuralUrban,KoeppenGeigerClimate,StationType,OperationStatus,DiffusionStatus,TimeResolution,StartDate,EndDate,ContactName,Institute,Url,CommissionDate,DecommissionDate,Comment
BON,,"Bondville, Illinois",Bondville,,,213.0,,,"Bondville, Illinois",USA,,,,,,,,,,,,,,,,
FPK,,"Fort Peck, Montana",Fort Peck,,,634.0,,,"Fort Peck, Montana",USA,,,,,,,,,,,,,,,,
GWN,,"Goodwin Creek, Mississippi",Goodwin Creek,,,98.0,,,"Goodwin Creek, Mississippi",USA,,,,,,,,,,,,,,,,
TBL,,"Table Mountain, Colorado",Table Mountain,,,1689.0,,,"Table Mountain, Colorado",USA,,,,,,,,,,,,,,,,
DRA,,"Desert Rock, Nevada",Desert Rock,,,1007.0,,,"Desert Rock, Nevada",USA,,,,,,,,,,,,,,,,
PSU,,"Penn State, Pennsylvania",Penn State,,,376.0,,,"Penn State, Pennsylvania",USA,,,,,,,,,,,,,,,,
SXF,,"Sioux Falls, South Dakota",Sioux Falls,,,473.0,,,"Sioux Falls, South Dakota",USA,,,,,,,,,,,,,,,,
