ID,WMOID,FullName,Latitude,Longitude,Elevation,Timezone,Address,City,Country,SurfaceType,TopographyType,RuralUrban,Climate,OperationStatus,TimeResolution,ContactName,Institute,Url,CommissionDate,DecommissionDate,StartDate,EndDate,Comment
BON,," Bondville, Illinois",40.05,-88.37,213,,," Bondville, Illinois",USA,,,,,,,,,,,,,,
FPK,,"Fort Peck, Montana",48.31,-105.1,634,,,"Fort Peck, Montana",USA,,,,,,,,,,,,,,
GWN,," Goodwin Creek, Mississippi",34.25,-89.87,98,,," Goodwin Creek, Mississippi",USA,,,,,,,,,,,,,,
TBL,,"Table Mountain, Colorado",40.13,-105.24,1689,,,"Table Mountain, Colorado",USA,,,,,,,,,,,,,,
DRA,," Desert Rock, Nevada ",36.624,-116.019,1007,,," Desert Rock, Nevada ",USA,,,,,,,,,,,,,,
PSU,,"Penn State, Pennsylvania ",40.72,-77.93,376,,,"Penn State, Pennsylvania ",USA,,,,,,,,,,,,,,
SXF,,"Sioux Falls, South Dakota",43.73,-96.62,473,,,"Sioux Falls, South Dakota",USA,,,,,,,,,,,,,,
