ID,WMOID,FullName,Latitude,Longitude,Elevation,Timezone,Address,City,Country,SurfaceType,TopographyType,RuralUrban,Climate,OperationStatus,TimeResolution,ContactName,Institute,Url,CommissionDate,DecommissionDate,StartDate,EndDate,Comment
PHIMAI,,phimai,15.184,102.564,212,,"Rang Ka Yai, Phimai, Nakhon, Ratchasima 30110",phimai,Thailand,,,,,,,Hitoshi Irie and Tamio Takamura (CEReS/Chiba-U.),Bureau of Royal Rainmaking and Agricultural Aviation (BRRAA),http://atmos3.cr.chiba-u.jp/skynet/phimai/phimai.html,,,,,
SEOUL,,seoul,37.46,126.95,85,,,seoul,South Korea,,,,,,,Sang Woo Kim and B. J. Sohn,,http://atmos3.cr.chiba-u.jp/skynet/seoul/seoul.html,,,,,
SENDAI,,sendai,38.26,140.84,153,,,sendai,Japan,,,,,,,Tadahiro Hayasaka,Tohoku Univ.,http://atmos3.cr.chiba-u.jp/skynet/sendai/sendai.html,,,,,
MIYAKO,,Miyako-jima,24.737,125.327,50,,,Miyako-jima,Japan,,,,,,,Hitoshi Irie and Tamio Takamura,CEReS/Chiba-U.,http://atmos3.cr.chiba-u.jp/skynet/miyako/miyako.html,,,,,
FUKUE,,Fukue-jima,32.752,128.682,80,,,Fukue-jima,Japan,,,,,,,Hitoshi Irie and Tamio Takamura,CEReS/Chiba-U.,http://atmos3.cr.chiba-u.jp/skynet/fukue/fukue.html,,,,,
CAPEHEDO,,Cape Hedo,16.867,128.248,65,,,Cape Hedo,Japan,,,,,,,Hitoshi Irie and Tamio Takamura,CEReS/Chiba-U.,http://atmos3.cr.chiba-u.jp/skynet/capehedo/capehedo.html,,,,,
CHIBA,,Chiba,35.625,140.104,21,,,Chiba,Japan,,,,,,,Hitoshi Irie and Tamio Takamura,CEReS/Chiba-U.,http://atmos3.cr.chiba-u.jp/skynet/chiba/chiba.html,,,,,
