ID,UID,WMOID,Name,Latitude,Longitude,Elevation,Timezone,Address,City,Region,Country,SurfaceType,TopographyType,RuralUrban,Climate,OperationStatus,TimeResolution,ContactName,Institute,Url,CommissionDate,DecommissionDate,StartDate,EndDate,Comment
PFOR,tng00028,,Pforzheim,48.899,8.746,312,,"4, Schwalbenstrasse",Pforzheim,Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
WEIK,tng00029,,Weikersheim,49.457,9.889,370,,"18, Tauberhohe","Weikersheim, Honsbronn",Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
KONS,tng00030,,Konstanz,47.674,9.163,402,,Schanzlebrucke,"Verwaltungsgemeinschaft Konstanz, Constance",Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
LEIB,tng00031,,Leibertingen,48.064,9.068,763,,,"Verwaltungsgemeinschaft Messkirch, Kreenheinstetten",Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
CRAI,tng00032,,Crailsheim,49.132,10.054,416,,Friedrich-Bergius-Strasse,"Verwaltungsverband Crailsheim, Crailsheim",Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
RAVE,tng00033,,Ravensburg,47.786,9.608,432,,"31, Georgstrasse","Verwaltungsverband Mittleres Schussental, Ravensburg",Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
HERD,tng00034,,Herdwangen-Schönach,47.854,9.137,660,,,"Verwaltungsgemeinschaft Pfullendorf, Herdwangen-Schonach",Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
SCHH,tng00035,,Schwäbisch Hall,49.117,9.774,399,,,"Verwaltungsgemeinschaft Schwabisch Hall, Schwabisch Hall, Hessental",Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
BADE,tng00036,,Baden-Baden,48.787,8.189,127,,"24, Guterbahnhofstrasse",,Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
NEUB,tng00037,,Neubulach,48.649,8.654,621,,Harlestrasse,"Verwaltungsverband Teinachtal, Neubulach",Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
WALD,tng00038,,Waldshut-Tiengen,47.624,8.255,345,,"8, Von-Opel-Strasse","Verwaltungsgemeinschaft Waldshut-Tiengen, Waldshut-Tiengen, Homburg",Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
SCHG,tng00039,,Schwäbisch Gmünd,48.803,9.8,326,,"29, Honiggasse","Verwaltungsgemeinschaft Schwabisch Gmund, Schwabisch Gmund",Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
BERG,tng00040,,Berghülen,48.455,9.778,667,,Hessenhofeweg,"Gemeindeverwaltungsverband Blaubeuren, Buhlenhausen",Baden-Wurttemberg,Germany,,,,,,1,Elke Lorenz,Fraunhofer ISE,,,,,,
