ID,WMOID,FullName,Latitude,Longitude,Elevation,Timezone,Address,City,Country,SurfaceType,TopographyType,RuralUrban,Climate,OperationStatus,TimeResolution,ContactName,Institute,Url,CommissionDate,DecommissionDate,StartDate,EndDate,Comment
ABQ,,"Albuquerque, New Mexico",35.03796,-106.62211,1617,UTC-07:00,,"Albuquerque, New Mexico",USA,,,,,,,,,,,,,,
BIS,,"Bismarck, North Dakota",46.77,-100.76,503,UTC-06:00,,"Bismarck, North Dakota",USA,,,,,,,,,,,,,,
HNX,,"Hanford, California",36.31357,-119.63164,73,UTC-08:00,,"Hanford, California",USA,,,,,,,,,,,,,,
SEA,,"Seattle, Washington",47.69,-122.26,20,UTC-08:00,,"Seattle, Washington",USA,,,,,,,,,,,,,,
TLH,,"Tallahassee, Florida",30.39675,-84.32955,18,UTC-05:00,,"Tallahassee, Florida",USA,,,,,,,,,,,,,,
SLC,,"Salt Lake City, Utah",40.7722,-111.95495,1288,UTC-07:00,,"Salt Lake City, Utah",USA,,,,,,,,,,,,,,
STE,,"Sterling, Virginia",38.97203,-77.4869,85,UTC-05:00,,"Sterling, Virginia",USA,,,,,,,,,,,,,,
MSN,,"Madison, Wisconsin",43.0725,-89.41133,271,UTC-06:00,,"Madison, Wisconsin",USA,,,,,,,,,,,,,,
ORT,,"Oak Ridge, Tennessee",35.96101,-84.28838,334,UTC-05:00,,"Oak Ridge, Tennessee",USA,,,,,,,,,,,,,,
